# data from ifeffit
#------------------------
#   energy    f1
  9556.1040       -1.9096911
  9557.1040       -1.9068549
  9558.1040       -1.9046679
  9559.1040       -1.9019744
  9560.1040       -1.9000587
  9561.1040       -1.8976906
  9562.1040       -1.8960800
  9563.1040       -1.8939446
  9564.1040       -1.8924925
  9565.1040       -1.8904687
  9566.1040       -1.8890828
  9567.1040       -1.8870778
  9568.1040       -1.8856540
  9569.1040       -1.8835683
  9570.1040       -1.8820263
  9571.1040       -1.8797857
  9572.1040       -1.8780344
  9573.1040       -1.8755457
  9574.1040       -1.8735494
  9575.1040       -1.8708715
  9576.1040       -1.8687980
  9577.1040       -1.8662292
  9578.1040       -1.8644492
  9579.1040       -1.8623186
  9580.1040       -1.8610931
  9581.1040       -1.8596594
  9582.1040       -1.8592912
  9583.1040       -1.8588061
  9584.1040       -1.8593467
  9585.1040       -1.8596047
  9586.1040       -1.8605289
  9587.1040       -1.8607021
  9588.1040       -1.8611989
  9589.1040       -1.8607809
  9590.1040       -1.8606398
  9591.1040       -1.8596706
  9592.1040       -1.8591299
  9593.1040       -1.8578845
  9594.1040       -1.8571469
  9595.1040       -1.8557893
  9596.1040       -1.8550397
  9597.1040       -1.8537624
  9598.1040       -1.8531181
  9599.1040       -1.8519123
  9600.1040       -1.8512165
  9601.1040       -1.8497421
  9602.1040       -1.8485756
  9603.1040       -1.8465521
  9604.1040       -1.8448584
  9605.1040       -1.8424546
  9606.1040       -1.8406441
  9607.1040       -1.8383661
  9608.1040       -1.8368050
  9609.1040       -1.8348180
  9610.1040       -1.8335026
  9611.1040       -1.8316457
  9612.1040       -1.8303485
  9613.1040       -1.8284532
  9614.1040       -1.8270912
  9615.1040       -1.8251423
  9616.1040       -1.8237583
  9617.1040       -1.8218060
  9618.1040       -1.8203978
  9619.1040       -1.8183718
  9620.1040       -1.8167871
  9621.1040       -1.8144466
  9622.1040       -1.8124374
  9623.1040       -1.8096203
  9624.1040       -1.8071150
  9625.1040       -1.8038183
  9626.1040       -1.8008735
  9627.1040       -1.7971959
  9628.1040       -1.7939404
  9629.1040       -1.7900548
  9630.1040       -1.7867503
  9631.1040       -1.7830173
  9632.1040       -1.7800064
  9633.1040       -1.7766302
  9634.1040       -1.7739736
  9635.1040       -1.7708734
  9636.1040       -1.7683566
  9637.1040       -1.7652984
  9638.1040       -1.7627813
  9639.1040       -1.7597226
  9640.1040       -1.7572457
  9641.1040       -1.7543014
  9642.1040       -1.7519909
  9643.1040       -1.7492351
  9644.1040       -1.7471097
  9645.1040       -1.7445138
  9646.1040       -1.7425007
  9647.1040       -1.7399777
  9648.1040       -1.7380048
  9649.1040       -1.7354940
  9650.1040       -1.7334932
  9651.1040       -1.7309117
  9652.1040       -1.7288136
  9653.1040       -1.7261404
  9654.1040       -1.7239785
  9655.1040       -1.7213103
  9656.1040       -1.7192538
  9657.1040       -1.7167811
  9658.1040       -1.7149717
  9659.1040       -1.7127784
  9660.1040       -1.7112611
  9661.1040       -1.7093626
  9662.1040       -1.7081309
  9663.1040       -1.7065052
  9664.1040       -1.7055213
  9665.1040       -1.7041059
  9666.1040       -1.7032741
  9667.1040       -1.7019562
  9668.1040       -1.7011750
  9669.1040       -1.6998693
  9670.1040       -1.6990540
  9671.1040       -1.6976623
  9672.1040       -1.6967144
  9673.1040       -1.6951696
  9674.1040       -1.6940657
  9675.1040       -1.6923892
  9676.1040       -1.6912056
  9677.1040       -1.6895085
  9678.1040       -1.6883321
  9679.1040       -1.6866460
  9680.1040       -1.6854555
  9681.1040       -1.6836970
  9682.1040       -1.6823630
  9683.1040       -1.6804300
  9684.1040       -1.6789292
  9685.1040       -1.6768770
